doc_id,trail_date,litigant_name,litigant_type,case_reason, status, 备注,url
24f99def-4ba6-4e8d-81fc-a84400c9348a,2017.9.26 0:00, 乌鲁木齐川渝风云商贸有限公司, , , E, 页面为空没有相关数据仅只显示的字样为确认人民调解协议效力的,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=24f99def-4ba6-4e8d-81fc-a84400c9348a&trailDate=2017-09-26
43bc1fd6-3e2b-4cc4-b49e-a816010edb60,2017.4.18 0:00, 王玫贺娜, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=43bc1fd6-3e2b-4cc4-b49e-a816010edb60&trailDate=2017-04-18
776a556b-d517-4174-b39b-a84f00ca57fc,2017.11.30 0:00, 平凉市崆峒区人民法院, , , E, 查看litigant_nam为“申请执行人与需求不符',http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=776a556b-d517-4174-b39b-a84f00ca57fc&trailDate=2017-11-30
9ec1a885-6747-4da2-9969-a7f300b183e1,2017.8.4 0:00, 浙江仁者科技股份有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=9ec1a885-6747-4da2-9969-a7f300b183e1&trailDate=2017-08-04
9ec1a885-6747-4da2-9969-a7f300b183e1,2017.8.4 0:00, 金华家家棒包装有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=9ec1a885-6747-4da2-9969-a7f300b183e1&trailDate=2017-08-04
6fd7f12a-ef14-421a-a00c-a754000de966,2017.4.11 0:00, 北京家捷送电子商务有限公司, 原告, 劳动争议, S, "update judgedoc_litigant set litigant_type = '原告' litigant_type_alias = '1' where doc_id = '6fd7f12a-ef14-421a-a00c-a754000de966' and litigant_name='北京家捷送电子商务有限公司';",http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=6fd7f12a-ef14-421a-a00c-a754000de966&trailDate=2017-04-11
56e5ea99-1572-43e8-8818-a76000e4e98f,2017.2.27 0:00, 重庆农村商业银行股份有限公司酉阳支行, , , E, 页面为空没有相关数据仅只显示的字样为人民法院认为不宜在互联网公布的其他情形,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=56e5ea99-1572-43e8-8818-a76000e4e98f&trailDate=2017-02-27
4a79721f-41fa-4969-aea2-a74c00ffcebc,2017.3.24 0:00, 重庆强博建筑劳务有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=4a79721f-41fa-4969-aea2-a74c00ffcebc&trailDate=2017-03-24
4a79721f-41fa-4969-aea2-a74c00ffcebc,2017.3.24 0:00, 中太建设集团股份有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=4a79721f-41fa-4969-aea2-a74c00ffcebc&trailDate=2017-03-24
3d98e41a-9e9f-4349-8027-a7f900879803,2017.4.5 0:00, 安徽旌德宏聪金属制造科技有限公司, , , E, 页面为空没有相关数据仅只显示的字样为以调解方式结案,http://192.168.31.22:3333/api/law/judgedoc/detail/html?docId=3d98e41a-9e9f-4349-8027-a7f900879803&trailDate=2017-04-05
